epoch, training loss, rmse loss, validation loss
303,32.472,32.472,0.000
304,32.490,32.490,0.000
305,32.426,32.426,0.000
306,32.518,32.518,0.000
307,32.489,32.489,0.000
308,32.441,32.441,0.000
309,32.579,32.579,0.000
310,32.380,32.380,0.000
311,32.340,32.340,0.000
312,32.351,32.351,0.000
313,32.463,32.463,0.000
314,32.524,32.524,0.000
315,32.525,32.525,0.000
316,32.418,32.418,0.000
317,32.388,32.388,0.000
318,32.347,32.347,0.000
319,32.452,32.452,0.000
320,32.400,32.400,0.000
321,32.459,32.459,0.000
322,32.470,32.470,0.000
323,32.347,32.347,0.000
324,32.451,32.451,0.000
325,32.444,32.444,0.000
326,32.472,32.472,0.000
327,32.435,32.435,0.000
328,32.410,32.410,0.000
329,32.370,32.370,0.000
330,32.506,32.506,0.000
331,32.512,32.512,0.000
332,32.427,32.427,0.000
333,32.397,32.397,0.000
334,32.431,32.431,0.000
335,32.409,32.409,0.000
336,32.509,32.509,0.000
337,32.449,32.449,0.000
338,32.343,32.343,0.000
339,32.423,32.423,0.000
340,32.360,32.360,0.000
341,32.397,32.397,0.000
342,32.415,32.415,0.000
343,32.437,32.437,0.000
344,32.379,32.379,0.000
345,32.380,32.380,0.000
346,32.366,32.366,0.000
347,32.472,32.472,0.000
348,32.365,32.365,0.000
349,32.398,32.398,0.000
350,32.478,32.478,0.000
351,32.268,32.268,0.000
352,32.430,32.430,0.000
353,32.276,32.276,0.000
354,32.336,32.336,0.000
355,32.429,32.429,0.000
356,32.400,32.400,0.000
357,32.341,32.341,0.000
358,32.361,32.361,0.000
359,32.380,32.380,0.000
360,32.325,32.325,0.000
361,32.469,32.469,0.000
362,32.325,32.325,0.000
363,32.311,32.311,0.000
364,32.397,32.397,0.000
365,32.430,32.430,0.000
366,32.344,32.344,0.000
367,32.281,32.281,0.000
368,32.182,32.182,0.000
369,32.342,32.342,0.000
370,32.322,32.322,0.000
371,32.327,32.327,0.000
372,32.301,32.301,0.000
373,32.287,32.287,0.000
374,32.354,32.354,0.000
375,32.260,32.260,0.000
376,32.294,32.294,0.000
377,32.352,32.352,0.000
378,32.375,32.375,0.000
379,32.374,32.374,0.000
380,32.260,32.260,0.000
381,32.317,32.317,0.000
382,32.339,32.339,0.000
383,32.376,32.376,0.000
384,32.426,32.426,0.000
385,32.362,32.362,0.000
386,32.352,32.352,0.000
387,32.220,32.220,0.000
388,32.277,32.277,0.000
389,32.316,32.316,0.000
390,32.277,32.277,0.000
391,32.221,32.221,0.000
392,32.307,32.307,0.000
393,32.191,32.191,0.000
394,32.405,32.405,0.000
395,32.283,32.283,0.000
396,32.147,32.147,0.000
397,32.290,32.290,0.000
398,32.224,32.224,0.000
399,32.235,32.235,0.000
400,32.383,32.383,0.000
401,32.227,32.227,0.000
402,32.386,32.386,0.000
403,32.069,32.069,0.000
404,32.235,32.235,0.000
405,32.305,32.305,0.000
406,32.318,32.318,0.000
407,32.260,32.260,0.000
408,32.235,32.235,0.000
